index,Позитив,Негатив,Комментарий,Отзывы
48,"Мягкие, хорошо впитывают,не вызвали раздражение  ",Не нашла ,"Дипучки мягче чем у памперс,не царапают кожу. В целом осталась довольна,но в трусиках все же удобнее ","мягкие, хорошо впитывают,не вызвали раздражение  , не нашла , дипучки мягче чем у памперс,не царапают кожу  в целом осталась довольна,но в трусиках все же удобнее "
49,"Качество, цена, цвет  ",Не выявлено ,"Для нас самые лучшие трусики, используем даже на ночь-никаких протеканий. Цвет не яркий, через одежду не просвечивает рисунок. Трусики не вызывают раздражение ","качество, цена, цвет  , не выявлено , для нас самые лучшие трусики, используем даже на ночьникаких протеканий  цвет не яркий, через одежду не просвечивает рисунок  трусики не вызывают раздражение "
50,отличные подгузники!!  ,,,"отличные подгузники  , , "
51,"начали пользоваться, есть индикатор, сзади липучка для утилизации. По сравнению с Хаггис - они жёстче. ",пока не выявили ,,"начали пользоваться, есть индикатор, сзади липучка для утилизации  по сравнению с хаггис  они жестче  , пока не выявили , "
52,Отличные подгузники.Впитывают хорошо.Покупаю не первый раз. ,Прислали без дополнительной упаковки ,Буду покупать ещё  ,"отличные подгузники впитывают хорошо покупаю не первый раз  , прислали без дополнительной упаковки , буду покупать еще  "
53,"Цена, плотность.  ",Есть небольшой запах. ,Используем их по ночам и для поликлиники. Все отлично. Покупаем совместно с трусиками этой фирмы.  ,"цена, плотность   , есть небольшой запах  , используем их по ночам и для поликлиники  все отлично  покупаем совместно с трусиками этой фирмы   "
54,Не нашла  ,"Ребенок писает и все собирается в одном месте , грубые , вызвали раздражение, протекают  ","Всегда покупала momi comfort care и они для меня лучше, очень мягкие, всегда сухие , не протекают. Тут решила купить ultra care …в общем мне они не понравились от слова совсем . 
 ","не нашла  , ребенок писает и все собирается в одном месте , грубые , вызвали раздражение, протекают  , всегда покупала momi comfort care и они для меня лучше, очень мягкие, всегда сухие , не протекают  тут решила купить ultra care в общем мне они не понравились от слова совсем    "
55,"ценовая политика, качество ",продала с продажи упаковка троичка с количеством 74 шт ,"качество трусиков нас устраивает, до этого все время брали упаковку , штук на 20 больше,чем в этой и цена была в пределах 1000 р, нам хватало той упаковки на месяц. ","ценовая политика, качество , продала с продажи упаковка троичка с количеством 74 шт , качество трусиков нас устраивает, до этого все время брали упаковку , штук на 20 больше,чем в этой и цена была в пределах 1000 р, нам хватало той упаковки на месяц  "
56,"Цена, не промокают всю ночь, клейкая лента для скручивания после использования, не вызывают аллергию.  ",Нет ,"У меня очень полненький мальчик и нужны были подгузники, которые не натирают ножки, при этом не протекающие. За ночь малыш много писает, поэтому важным критерием для выбора была непромокаемость с которой momi справляются на ура. Нет никакого неприятного... ","цена, не промокают всю ночь, клейкая лента для скручивания после использования, не вызывают аллергию   , нет , у меня очень полненький мальчик и нужны были подгузники, которые не натирают ножки, при этом не протекающие  за ночь малыш много писает, поэтому важным критерием для выбора была непромокаемость с которой momi справляются на ура  нет никакого неприятного    "
57,Мягкие и не протекают ,,Отличные трусики за свою цену  ,"мягкие и не протекают , , отличные трусики за свою цену  "
58,мягкие ,чуть слабоваты в поясе ,"беру постоянно, писюн влажный но цена-качество ","мягкие , чуть слабоваты в поясе , беру постоянно, писюн влажный но ценакачество "
59,"Хорошо впитывают, мягкие ",Ужасные застежки ,Ребёнок в год и три снимает их на ура ,"хорошо впитывают, мягкие , ужасные застежки , ребенок в год и три снимает их на ура "
60,,,,", , "
61,цена и качество  ,нет  ,очень удобные подгузы  ,"цена и качество  , нет  , очень удобные подгузы  "
62,"приятные, мягкие, сзади есть липучка чтоб после использования свернуть трусики и выкинуть, попка сухая. ",когда проблемы с кишечником лучше не одевать ,"хорошие трусики-подгузники. в первый раз используем трусики.
сначала для проверки стала надевать днем- хватало на 3-4часа. 
потом решила одеть на ночь😁
но оценить по достоинству не получилось-ночью у малышки... ","приятные, мягкие, сзади есть липучка чтоб после использования свернуть трусики и выкинуть, попка сухая  , когда проблемы с кишечником лучше не одевать , хорошие трусикиподгузники  в первый раз используем трусики сначала для проверки стала надевать днем хватало на 34часа  потом решила одеть на ночьно оценить по достоинству не получилосьночью у малышки    "
63,"Отличные трусики. Перепробовала очень много разных. Эти лучшие из сходя качество-цена. Не преет попка, нет раздражений, подгузник становится влажным, когда уже переполнен. Нам на ночь хватает, хотя бывают протечки, но это если мы долго спим.  ",За полгода не нашла ,Рекомендую.  ,"отличные трусики  перепробовала очень много разных  эти лучшие из сходя качествоцена  не преет попка, нет раздражений, подгузник становится влажным, когда уже переполнен  нам на ночь хватает, хотя бывают протечки, но это если мы долго спим   , за полгода не нашла , рекомендую   "
64,"Мягкие, дышашие, хорошо впитывающие и по адекватному ценнику ",Не выявлено за более чем год использования ,"Моми данной серии наш топ! Сколько подгузников попробовали, а возвращаемся всегда к ним) От других японских подгузников отличаются тем, что тут ниже ценник без ущерба качеству. Не японские убили полиэтиленовым материалом и химозным запахом - у моми... ","мягкие, дышашие, хорошо впитывающие и по адекватному ценнику , не выявлено за более чем год использования , моми данной серии наш топ сколько подгузников попробовали, а возвращаемся всегда к ним от других японских подгузников отличаются тем, что тут ниже ценник без ущерба качеству  не японские убили полиэтиленовым материалом и химозным запахом  у моми    "
65,"Нет раздражение, что очень важно для нежной коже малыша  ",,,"нет раздражение, что очень важно для нежной коже малыша  , , "
66,Цена качество ,,"9кг чуть-чуть велики но не критично
С задачей справляется  ","цена качество , , 9кг чутьчуть велики но не критичнос задачей справляется  "
67,Не промокают  ,Нет ,Отличные подгузники  ,"не промокают  , нет , отличные подгузники  "
68,"мягкие, подходят на пухлую попу, не протекают, есть индикатор наполнения ",нет ,"Подгузники очень качественные, покупаю не в первые раз. Очень мягкие, приятные к телу малыша, отлично впитываю, не протекают, раздражений нет, хватает на всю ночь. Соответствуют размеру, на ребёнке весом 10.5 кг сидят отлично. Рекомендую к покупке. ","мягкие, подходят на пухлую попу, не протекают, есть индикатор наполнения , нет , подгузники очень качественные, покупаю не в первые раз  очень мягкие, приятные к телу малыша, отлично впитываю, не протекают, раздражений нет, хватает на всю ночь  соответствуют размеру, на ребенке весом 10 5 кг сидят отлично  рекомендую к покупке  "
69,"Очень мягкие, хватает на всю ночь, хорошая цена ",Нет ,"Брала памперсы этой фирмы, очень понравились, решила попробовать трусики этой же фирмы и не разочаровалась. Очень мягкие, хорошая посадка, не протекают, хватает на ночь, есть индикатор наполнения и утилизационная лента. Цена более чем. Отличное сочетание цены и качества. В отличие от многих дорогих марок... ","очень мягкие, хватает на всю ночь, хорошая цена , нет , брала памперсы этой фирмы, очень понравились, решила попробовать трусики этой же фирмы и не разочаровалась  очень мягкие, хорошая посадка, не протекают, хватает на ночь, есть индикатор наполнения и утилизационная лента  цена более чем  отличное сочетание цены и качества  в отличие от многих дорогих марок    "
